gender,accum_visits,accum_days,accum_subs,accum_pages,accum_onsite,accum_entered,accum_completed,completed_holiday,visit_cycle,purchase_cycle,purchase_freq,pages_per_visit,onsite_per_visit,churn
M,8,214,8,40,49,7,2,0,26.75,107,4,5,6.12,1
M,24,735,25,131,209,21,17,10,30.62,43.24,1.41,5.46,8.71,1
M,24,770,26,107,201,18,13,5,32.08,59.23,1.85,4.46,8.38,1
M,20,401,14,83,125,14,9,3,20.05,44.56,2.22,4.15,6.25,1
F,37,898,30,181,317,26,19,7,24.27,47.26,1.95,4.89,8.57,1
M,47,884,30,204,312,34,25,11,18.81,35.36,1.88,4.34,6.64,1
F,5,5,1,37,34,5,5,0,1,1,1,7.4,6.8,0
F,29,301,10,145,240,24,19,5,10.38,15.84,1.53,5,8.28,1
F,57,1080,36,302,393,47,36,18,18.95,30,1.58,5.3,6.89,1
F,66,873,29,305,577,57,43,16,13.23,20.3,1.53,4.62,8.74,1
F,23,401,14,115,243,17,12,4,17.43,33.42,1.92,5,10.57,1
F,16,318,11,98,172,14,14,4,19.88,22.71,1.14,6.12,10.75,1
F,84,935,31,398,770,69,49,21,11.13,19.08,1.71,4.74,9.17,1
M,39,737,25,188,458,31,26,11,18.9,28.35,1.5,4.82,11.74,1
F,27,360,12,151,256,22,19,4,13.33,18.95,1.42,5.59,9.48,1
M,14,276,10,53,126,10,8,2,19.71,34.5,1.75,3.79,9,1
F,27,269,9,150,347,21,15,5,9.96,17.93,1.8,5.56,12.85,0
F,27,406,14,129,227,20,14,4,15.04,29,1.93,4.78,8.41,1
M,11,207,7,66,153,9,8,4,18.82,25.88,1.38,6,13.91,1
F,53,695,23,259,361,37,25,9,13.11,27.8,2.12,4.89,6.81,1
F,38,579,20,188,439,27,21,9,15.24,27.57,1.81,4.95,11.55,1
F,22,190,7,129,205,20,16,3,8.64,11.88,1.38,5.86,9.32,1
M,67,1340,45,318,581,53,36,19,20,37.22,1.86,4.75,8.67,0
F,24,358,12,139,230,20,16,6,14.92,22.38,1.5,5.79,9.58,0
F,53,746,25,250,361,43,29,15,14.08,25.72,1.83,4.72,6.81,1
F,30,676,23,167,279,25,18,7,22.53,37.56,1.67,5.57,9.3,1
F,43,622,21,244,404,38,27,9,14.47,23.04,1.59,5.67,9.4,1
F,20,311,11,115,277,17,11,5,15.55,28.27,1.82,5.75,13.85,1
M,24,622,21,131,260,19,15,7,25.92,41.47,1.6,5.46,10.83,1
F,25,496,17,124,168,19,13,5,19.84,38.15,1.92,4.96,6.72,1
F,128,1448,48,654,1307,112,68,31,11.31,21.29,1.88,5.11,10.21,0
F,7,22,1,41,85,7,7,1,3.14,3.14,1,5.86,12.14,0
F,37,809,27,192,381,29,25,10,21.86,32.36,1.48,5.19,10.3,1
F,9,18,1,58,174,8,6,1,2,3,1.5,6.44,19.33,0
F,5,7,1,40,52,5,5,0,1.4,1.4,1,8,10.4,0
F,109,991,33,521,887,81,58,24,9.09,17.09,1.88,4.78,8.14,0
M,19,660,22,94,124,14,12,6,34.74,55,1.58,4.95,6.53,1
F,30,543,18,137,188,19,13,6,18.1,41.77,2.31,4.57,6.27,1
F,65,842,28,302,506,45,36,15,12.95,23.39,1.81,4.65,7.78,1
F,49,676,23,227,402,38,23,9,13.8,29.39,2.13,4.63,8.2,1
F,67,718,24,308,501,48,36,15,10.72,19.94,1.86,4.6,7.48,1
F,25,324,11,147,261,20,16,6,12.96,20.25,1.56,5.88,10.44,1
M,13,314,11,63,56,9,7,2,24.15,44.86,1.86,4.85,4.31,1
F,6,29,1,45,100,6,5,1,4.83,5.8,1.2,7.5,16.67,0
F,39,387,13,227,665,35,27,10,9.92,14.33,1.44,5.82,17.05,0
F,33,370,13,179,282,30,25,8,11.21,14.8,1.32,5.42,8.55,1
M,19,347,12,100,179,17,13,7,18.26,26.69,1.46,5.26,9.42,1
F,74,753,25,358,538,60,35,19,10.18,21.51,2.11,4.84,7.27,1
F,21,171,6,133,278,19,17,4,8.14,10.06,1.24,6.33,13.24,0
F,117,1326,44,553,981,92,70,27,11.33,18.94,1.67,4.73,8.38,1
F,109,1236,41,527,799,84,57,26,11.34,21.68,1.91,4.83,7.33,1
M,9,233,8,41,118,6,5,3,25.89,46.6,1.8,4.56,13.11,1
F,27,424,14,135,239,18,11,4,15.7,38.55,2.45,5,8.85,1
F,34,380,13,187,281,28,17,7,11.18,22.35,2,5.5,8.26,1
F,121,1256,42,577,1101,94,62,30,10.38,20.26,1.95,4.77,9.1,0
F,16,364,12,79,79,9,6,1,22.75,60.67,2.67,4.94,4.94,1
M,46,1266,42,214,350,34,20,13,27.52,63.3,2.3,4.65,7.61,1
F,39,392,13,220,664,32,23,9,10.05,17.04,1.7,5.64,17.03,1
F,6,6,1,52,31,6,6,0,1,1,1,8.67,5.17,0
F,41,576,19,217,375,33,25,13,14.05,23.04,1.64,5.29,9.15,1
M,13,319,11,66,158,9,8,4,24.54,39.88,1.62,5.08,12.15,1
F,116,1400,47,541,816,92,62,26,12.07,22.58,1.87,4.66,7.03,1
F,49,675,23,258,502,36,27,8,13.78,25,1.81,5.27,10.24,1
F,93,1119,37,427,713,74,56,22,12.03,19.98,1.66,4.59,7.67,1
F,19,412,14,106,318,16,14,5,21.68,29.43,1.36,5.58,16.74,1
F,84,862,29,404,746,59,44,19,10.26,19.59,1.91,4.81,8.88,1
F,41,524,18,218,476,33,24,8,12.78,21.83,1.71,5.32,11.61,0
F,17,155,6,95,199,14,11,3,9.12,14.09,1.55,5.59,11.71,1
F,49,749,25,266,526,35,22,10,15.29,34.05,2.23,5.43,10.73,1
M,12,322,11,53,120,8,6,1,26.83,53.67,2,4.42,10,0
F,78,969,32,395,592,60,43,17,12.42,22.53,1.81,5.06,7.59,1
F,88,1073,36,423,863,66,47,27,12.19,22.83,1.87,4.81,9.81,1
M,3,10,1,14,16,2,2,0,3.33,5,1.5,4.67,5.33,1
F,23,529,18,122,221,19,13,3,23,40.69,1.77,5.3,9.61,0
F,33,554,19,169,304,23,14,6,16.79,39.57,2.36,5.12,9.21,0
F,5,5,1,44,90,5,5,0,1,1,1,8.8,18,0
F,21,172,6,102,162,19,15,2,8.19,11.47,1.4,4.86,7.71,1
F,81,766,26,390,651,66,41,16,9.46,18.68,1.98,4.81,8.04,0
F,21,296,10,111,160,20,14,3,14.1,21.14,1.5,5.29,7.62,0
M,61,1433,48,295,513,45,26,14,23.49,55.12,2.35,4.84,8.41,0
M,17,421,14,80,116,9,6,4,24.76,70.17,2.83,4.71,6.82,0
F,47,502,17,244,411,37,28,11,10.68,17.93,1.68,5.19,8.74,0
F,92,918,31,467,811,72,45,21,9.98,20.4,2.04,5.08,8.82,0
F,51,708,24,260,419,43,31,13,13.88,22.84,1.65,5.1,8.22,1
M,4,9,1,25,54,4,4,1,2.25,2.25,1,6.25,13.5,0
F,31,372,13,175,233,25,21,8,12,17.71,1.48,5.65,7.52,1
F,22,486,16,118,207,17,16,7,22.09,30.38,1.38,5.36,9.41,1
F,26,456,15,130,140,24,16,7,17.54,28.5,1.62,5,5.38,1
F,125,1222,41,600,1164,91,62,29,9.78,19.71,2.02,4.8,9.31,0
M,27,639,22,130,258,17,14,8,23.67,45.64,1.93,4.81,9.56,1
F,29,384,13,154,170,24,17,9,13.24,22.59,1.71,5.31,5.86,0
F,27,437,15,146,238,20,16,7,16.19,27.31,1.69,5.41,8.81,1
F,64,782,26,314,444,50,36,19,12.22,21.72,1.78,4.91,6.94,0
F,40,588,20,188,248,31,23,12,14.7,25.57,1.74,4.7,6.2,1
M,12,353,12,62,108,8,8,2,29.42,44.12,1.5,5.17,9,1
F,50,811,27,258,421,42,25,10,16.22,32.44,2,5.16,8.42,1
F,99,1127,38,469,755,81,56,26,11.38,20.12,1.77,4.74,7.63,0
F,29,269,9,144,293,22,13,4,9.28,20.69,2.23,4.97,10.1,0
F,37,514,17,178,327,30,19,7,13.89,27.05,1.95,4.81,8.84,1
F,46,804,27,247,531,37,24,12,17.48,33.5,1.92,5.37,11.54,0
F,34,535,18,177,323,25,19,7,15.74,28.16,1.79,5.21,9.5,1
F,85,790,26,415,658,69,48,20,9.29,16.46,1.77,4.88,7.74,0
F,62,991,33,310,469,48,32,15,15.98,30.97,1.94,5,7.56,1
